fragility_id,description,unit_qty,unit,name,name_short,group,author,is_official_p58,system_id,subsystem_id,service_location,structural_system,structural_system_alt,structural_series_id
B1029.202c,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 35 ft., Wall Height 30' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 35 ft., wall 30 ft.","Out-of-plane connection, bay 35', wall 30' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.203a,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 50 ft., Wall Height 24' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 50 ft., wall 24 ft.","Out-of-plane connection, bay 50', wall 24' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.203b,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 50 ft., Wall Height 27' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 50 ft., wall 27 ft.","Out-of-plane connection, bay 50', wall 27' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.203c,"Out-of-plane wall to diaphragm connection, replaced conforming to current code, bay spacing 50 ft., Wall Height 30' with a 3' parapet, costing per 50 LF",50,lf,"Out-of-plane wall to diaphragm connection,bay spacing 50 ft., wall 30 ft.","Out-of-plane connection, bay 50', wall 30' ",structural,HBRG,False,1,0,NA,10,0,2
B1029.301,"Flexible steel deck diaphragm (fastened or welded), pre 1976,  plan aspect ratio 1:1, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, pre 1976,  plan aspect ratio 1:1.","Flexible steel diaphragm, <1976, AR 1:1.",structural,HBRG,False,1,0,NA,10,0,1
B1029.302,"Flexible steel deck diaphragm (fastened or welded), pre 1976, plan aspect ratio 2:1, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, pre 1976, plan aspect ratio 2:1.","Flexible steel diaphragm, <1976, AR 1:2.",structural,HBRG,False,1,0,NA,10,0,1
B1029.303,"Flexible steel deck diaphragm (fastened or welded), pre 1976, plan aspect ratio 1:2, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, pre 1976, plan aspect ratio 1:2.","Flexible steel diaphragm, <1976, AR 2:1.",structural,HBRG,False,1,0,NA,10,0,1
B1029.311,"Flexible steel deck diaphragm (fastened or welded), 1976 through 1996, plan aspect ratio 1:1, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, 1976 through 1996, plan aspect ratio 1:1.","Flexible steel diaphragm, 1967-1996, AR 1:1.",structural,HBRG,False,1,0,NA,10,0,1
B1029.312,"Flexible steel deck diaphragm (fastened or welded), 1976 through 1996, plan aspect ratio 2:1, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, 1976 through 1996, plan aspect ratio 2:1.","Flexible steel diaphragm, 1967-1996, AR 2:1.",structural,HBRG,False,1,0,NA,10,0,1
B1029.313,"Flexible steel deck diaphragm (fastened or welded), 1976 through 1996, plan aspect ratio 1:2, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, 1976 through 1996, plan aspect ratio 1:2.","Flexible steel diaphragm, 1967-1996, AR 1:2.",structural,HBRG,False,1,0,NA,10,0,1
B1029.321,"Flexible steel deck diaphragm (fastened or welded), post 1996, plan aspect ratio 1:1, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, post 1996, plan aspect ratio 1:1.","Flexible steel diaphragm, >1996, AR 1:1.",structural,HBRG,False,1,0,NA,10,0,1
B1029.322,"Flexible steel deck diaphragm (fastened or welded), post 1996, plan aspect ratio 2:1, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, post 1996, plan aspect ratio 2:1.","Flexible steel diaphragm, >1996, AR 2:1.",structural,HBRG,False,1,0,NA,10,0,1
B1029.323,"Flexible steel deck diaphragm (fastened or welded), post 1996, plan aspect ratio 1:2, costing for 50 ft^2.",50,sf,"Flexible steel diaphragm, post 1996, plan aspect ratio 1:2.","Flexible steel diaphragm, >1996, AR 1:2.",structural,HBRG,False,1,0,NA,10,0,1
B1031.001,Costing is on a per connection basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,Bolted shear tab gravity connections,Bolted shear tab gravity connections,structural,Greg Deierlein,True,1,0,NA,9,0,1
B1031.011a,Costing is on a per connection basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Steel Column Base Plates, Column W < 150 plf",Steel Column Base Plates,structural,Greg Deierlein,True,1,0,NA,5,6,2
B1031.011b,Costing is on a per connection basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Steel Column Base Plates, Column 150 plf < W < 300 plf",Steel Column Base Plates,structural,Greg Deierlein,True,1,0,NA,5,6,2
B1031.011c,Costing is on a per connection basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Steel Column Base Plates, Column W > 300 plf",Steel Column Base Plates,structural,Greg Deierlein,True,1,0,NA,5,6,2
B1031.021a,Costing is on a per connection basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Welded column splices, Column W < 150 plf",Welded column splices,structural,Greg Deierlein,True,1,0,NA,5,6,3
B1031.021b,Costing is on a per connection basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Welded column splices, Column 150 plf < W < 300 plf",Welded column splices,structural,Greg Deierlein,True,1,0,NA,5,6,3
B1031.021c,Costing is on a per connection basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Welded column splices, Column W > 300 plf",Welded column splices,structural,Greg Deierlein,True,1,0,NA,5,6,3
B1033.001a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, Chevron Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.001b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, Chevron Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.001c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, Chevron Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.002a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.002b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.002c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, Single Diagonal Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.003a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, X Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.003b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, X Brace, 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.003c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w WF braces, balanced design criteria, X Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.011a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, Chevron Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.011b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, Chevron Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.011c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, Chevron Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.012a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, Single Diagonal Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.012b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, Single Diagonal Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.012c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, Single Diagonal Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.013a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, X Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.013b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, X Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.013c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, balanced design criteria, X Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.021a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, Chevron Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.021b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, Chevron Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.021c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, Chevron Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.022a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard Single Diagonal Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.022b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, Single Diagonal Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.022c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, Single Diagonal Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.023a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, X Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.023b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, X Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.023c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame w HSS braces, tapered gusset plates & design to AISC minimum standard, X Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.031a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, Chevron Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.031b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, Chevron Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.031c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, Chevron Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.032a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, Single Diagonal Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.032b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, Single Diagonal Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.032c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, Single Diagonal Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.033a,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, X Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.033b,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, X Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.033c,Costing is on a per bay basis.  Costing does not include fireproofing removal or reapplication cost.,1,each,"Special Concentric Braced Frame, design to AISC minimum standards, X Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.041a,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, Chevron Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.041b,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, Chevron Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.041c,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, Chevron Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.042a,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, Single Diagonal Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.042b,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, Single Diagonal Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.042c,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, Single Diagonal Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.043a,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, X Brace, Brace w < 40 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.043b,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, X Brace, Brace 41 PLF < w < 99 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.043c,"Costing on a per bay basis, equivalent to AISC minimum SCBF criteria.   Costing does not include fireproofing removal or reapplication cost.",1,each,"Special Concentric Braced Frame w double angle braces, X Brace, Brace w > 100 PLF",Special Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.051a,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, Chevron Brace, Brace w < 40 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.051b,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, Chevron Brace, Brace w, 41 PLF < w < 99 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.051c,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, Chevron Brace, Brace w > 100 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.052a,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, Single Diagonal Brace, Brace w < 40 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.052b,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, Single Diagonal Brace, Brace w, 41 PLF < w < 99 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.052c,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, Single Diagonal Brace, Brace w > 100 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.053a,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, X Brace, Brace w < 40 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.053b,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, X Brace, Brace w, 41 PLF < w < 99 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.053c,"Costing on a per bay basis, braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame w compact braces, X Brace, Brace w > 100 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.061a,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, Chevron Brace, Brace w < 40 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.061b,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, Chevron Brace, Brace 41 PLF < w < 99 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.061c,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, Chevron Brace, Brace w > 100 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.062a,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, Single Diagonal Brace, Brace w < 40 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.062b,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, Single Diagonal Brace, Brace 41 PLF < w < 99 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.062c,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, Single Diagonal Brace, Brace w > 100 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.063a,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, X Brace, Brace w < 40 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.063b,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, X Brace, Brace 41 PLF < w < 99 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.063c,"Costing on a per bay basis, equivalent to AISC OCBF criteria.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Ordinary Concentric Braced Frame, braces design to ductile slenderness limits, X Brace, Brace w > 100 PLF",Ordinary Concentric Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.071a,"Costing on a per bay basis, equivalent to current AISC R=3.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Braced frame, design for factored loads, no additional seismic detailing, Chevron Brace, Brace w < 40 PLF",Non-Seismic Brace,structural,Not Given,True,1,0,NA,5,0,1
B1033.071b,"Costing on a per bay basis, equivalent to current AISC R=3.  Braces may be HSS, WF, or Angle.  Costing does not include fireproofing removal or reapplication cost.",1,each,"Braced frame, design for factored loads, no additional seismic detailing, Chevron Brace, 41 PLF < w < 99 PLF",Non-Seismic Brace,structural,Not Given,True,1,0,NA,5,0,1
